kernel,apis,all_4_apis,cuda_source_files,has_makefile,has_self_check
accuracy,"cuda,hip,omp,sycl",True,2,True,True
ace,"cuda,hip,omp,sycl",True,2,True,True
adam,"cuda,hip,omp,sycl",True,2,True,True
adamw,"cuda,hip,omp,sycl",True,3,True,True
adjacent,"cuda,hip,omp,sycl",True,1,True,True
affine,"cuda,hip,omp,sycl",True,3,True,True
aidw,"cuda,hip,omp,sycl",True,2,True,True
aligned-types,"cuda,hip,omp,sycl",True,1,True,True
all-pairs-distance,"cuda,hip,omp,sycl",True,1,True,True
aobench,"cuda,hip,omp,sycl",True,1,True,True
aop,"cuda,hip,omp,sycl",True,1,True,True
asmooth,"cuda,hip,omp,sycl",True,2,True,True
assert,"cuda,hip,omp,sycl",True,1,True,True
asta,"cuda,hip,omp,sycl",True,1,True,True
atan2,"cuda,hip,omp,sycl",True,1,True,True
atomicCost,"cuda,hip,omp,sycl",True,1,True,True
atomicIntrinsics,"cuda,hip,omp,sycl",True,4,True,True
atomicPerf,"cuda,hip,omp,sycl",True,2,True,True
atomicReduction,"cuda,hip,omp,sycl",True,2,True,True
attention,"cuda,hip,omp,sycl",True,3,True,True
axhelm,"cuda,hip,omp,sycl",True,6,True,True
b+tree,"cuda,hip,omp,sycl",True,3,True,True
babelstream,"cuda,hip,omp,sycl",True,1,True,True
background-subtract,"cuda,hip,omp,sycl",True,2,True,True
backprop,"cuda,hip,omp,sycl",True,8,True,True
bezier-surface,"cuda,hip,omp,sycl",True,1,True,True
bfs,"cuda,hip,omp,sycl",True,1,True,True
bitonic-sort,"cuda,hip,omp,sycl",True,1,True,True
black-scholes,"cuda,hip,omp,sycl",True,3,True,True
blas-gemm,"cuda,hip,omp,sycl",True,2,True,True
bn,"cuda,hip,omp,sycl",True,3,True,True
boxfilter,"cuda,hip,omp,sycl",True,2,True,True
bsearch,"cuda,hip,omp,sycl",True,1,True,True
bspline-vgh,"cuda,hip,omp,sycl",True,3,True,True
burger,"cuda,hip,omp,sycl",True,2,True,True
bwt,"cuda,hip,omp,sycl",True,3,True,True
cbsfil,"cuda,hip,omp,sycl",True,3,True,True
ccs,"cuda,hip,omp,sycl",True,8,True,True
ccsd-trpdrv,"cuda,hip,omp,sycl",True,4,True,True
cfd,"cuda,hip,omp,sycl",True,2,True,True
channelShuffle,"cuda,hip,omp,sycl",True,2,True,True
channelSum,"cuda,hip,omp,sycl",True,2,True,True
che,"cuda,hip,omp,sycl",True,2,True,True
chemv,"cuda,hip,omp,sycl",True,3,True,True
clenergy,"cuda,hip,omp,sycl",True,3,True,True
clink,"cuda,hip,omp,sycl",True,3,True,True
cm,"cuda,hip,omp,sycl",True,5,True,True
cmp,"cuda,hip,omp,sycl",True,13,True,True
colorwheel,"cuda,hip,omp,sycl",True,1,True,True
columnarSolver,"cuda,hip,omp,sycl",True,2,True,True
complex,"cuda,hip,omp,sycl",True,4,True,True
compute-score,"cuda,hip,omp,sycl",True,4,True,True
concat,"cuda,hip,omp,sycl",True,2,True,True
convolution1D,"cuda,hip,omp,sycl",True,1,True,True
convolution3D,"cuda,hip,omp,sycl",True,2,True,True
convolutionSeparable,"cuda,hip,omp,sycl",True,4,True,True
cooling,"cuda,hip,omp,sycl",True,1,True,True
crc64,"cuda,hip,omp,sycl",True,3,True,True
cross,"cuda,hip,omp,sycl",True,1,True,True
crs,"cuda,hip,omp,sycl",True,10,True,True
d2q9-bgk,"cuda,hip,omp,sycl",True,1,True,True
damage,"cuda,hip,omp,sycl",True,3,True,True
debayer,"cuda,hip,omp,sycl",True,3,True,True
degrid,"cuda,hip,omp,sycl",True,3,True,True
dense-embedding,"cuda,hip,omp,sycl",True,1,True,True
deredundancy,"cuda,hip,omp,sycl",True,4,True,True
diamond,"cuda,hip,omp,sycl",True,1,True,True
distort,"cuda,hip,omp,sycl",True,3,True,True
divergence,"cuda,hip,omp,sycl",True,2,True,True
dp,"cuda,hip,omp,sycl",True,3,True,True
dxtc2,"cuda,hip,omp,sycl",True,4,True,True
easyWave,"cuda,hip,omp,sycl",True,13,True,True
ecdh,"cuda,hip,omp,sycl",True,2,True,True
entropy,"cuda,hip,omp,sycl",True,2,True,True
epistasis,"cuda,hip,omp,sycl",True,2,True,True
expdist,"cuda,hip,omp,sycl",True,2,True,True
extend2,"cuda,hip,omp,sycl",True,1,True,True
extrema,"cuda,hip,omp,sycl",True,3,True,True
face,"cuda,hip,omp,sycl",True,8,True,True
fdtd3d,"cuda,hip,omp,sycl",True,10,True,True
feynman-kac,"cuda,hip,omp,sycl",True,3,True,True
fhd,"cuda,hip,omp,sycl",True,1,True,True
filter,"cuda,hip,omp,sycl",True,1,True,True
flip,"cuda,hip,omp,sycl",True,2,True,True
floydwarshall,"cuda,hip,omp,sycl",True,1,True,True
fluidSim,"cuda,hip,omp,sycl",True,4,True,True
fpc,"cuda,hip,omp,sycl",True,1,True,True
fpdc,"cuda,hip,omp,sycl",True,2,True,True
fresnel,"cuda,hip,omp,sycl",True,5,True,True
frna,"cuda,hip,omp,sycl",True,12,True,True
ga,"cuda,hip,omp,sycl",True,2,True,True
gabor,"cuda,hip,omp,sycl",True,2,True,True
gamma-correction,"cuda,hip,omp,sycl",True,2,True,True
gaussian,"cuda,hip,omp,sycl",True,4,True,True
gc,"cuda,hip,omp,sycl",True,1,True,True
gd,"cuda,hip,omp,sycl",True,4,True,True
geglu,"cuda,hip,omp,sycl",True,2,True,True
geodesic,"cuda,hip,omp,sycl",True,1,True,True
glu,"cuda,hip,omp,sycl",True,2,True,True
gmm,"cuda,hip,omp,sycl",True,5,True,True
goulash,"cuda,hip,omp,sycl",True,2,True,True
gpp,"cuda,hip,omp,sycl",True,4,True,True
grep,"cuda,hip,omp,sycl",True,9,True,True
grrt,"cuda,hip,omp,sycl",True,3,True,True
haccmk,"cuda,hip,omp,sycl",True,1,True,True
hausdorff,"cuda,hip,omp,sycl",True,2,True,True
haversine,"cuda,hip,omp,sycl",True,3,True,True
heartwall,"cuda,hip,omp,sycl",True,2,True,True
heat,"cuda,hip,omp,sycl",True,1,True,True
heat2d,"cuda,hip,omp,sycl",True,1,True,True
hellinger,"cuda,hip,omp,sycl",True,2,True,True
henry,"cuda,hip,omp,sycl",True,1,True,True
hexciton,"cuda,hip,omp,sycl",True,6,True,True
histogram,"cuda,hip,omp,sycl",True,5,True,True
hmm,"cuda,hip,omp,sycl",True,3,True,True
hogbom,"cuda,hip,omp,sycl",True,8,True,True
hotspot3D,"cuda,hip,omp,sycl",True,3,True,True
hwt1d,"cuda,hip,omp,sycl",True,4,True,True
hybridsort,"cuda,hip,omp,sycl",True,10,True,True
hypterm,"cuda,hip,omp,sycl",True,4,True,True
idivide,"cuda,hip,omp,sycl",True,3,True,True
interleave,"cuda,hip,omp,sycl",True,2,True,True
interval,"cuda,hip,omp,sycl",True,6,True,True
inversek2j,"cuda,hip,omp,sycl",True,1,True,True
iso2dfd,"cuda,hip,omp,sycl",True,2,True,True
jacobi,"cuda,hip,omp,sycl",True,1,True,True
jenkins-hash,"cuda,hip,omp,sycl",True,1,True,True
kalman,"cuda,hip,omp,sycl",True,2,True,True
keccaktreehash,"cuda,hip,omp,sycl",True,11,True,True
keogh,"cuda,hip,omp,sycl",True,2,True,True
kmeans,"cuda,hip,omp,sycl",True,7,True,True
knn,"cuda,hip,omp,sycl",True,1,True,True
lanczos,"cuda,hip,omp,sycl",True,9,True,True
langevin,"cuda,hip,omp,sycl",True,1,True,True
langford,"cuda,hip,omp,sycl",True,1,True,True
laplace,"cuda,hip,omp,sycl",True,4,True,True
laplace3d,"cuda,hip,omp,sycl",True,3,True,True
lavaMD,"cuda,hip,omp,sycl",True,3,True,True
layernorm,"cuda,hip,omp,sycl",True,3,True,True
layout,"cuda,hip,omp,sycl",True,1,True,True
lci,"cuda,hip,omp,sycl",True,3,True,True
ldpc,"cuda,hip,omp,sycl",True,5,True,True
lebesgue,"cuda,hip,omp,sycl",True,5,True,True
leukocyte,"cuda,hip,omp,sycl",True,15,True,True
libor,"cuda,hip,omp,sycl",True,1,True,True
lif,"cuda,hip,omp,sycl",True,1,True,True
linearprobing,"cuda,hip,omp,sycl",True,4,True,True
lombscargle,"cuda,hip,omp,sycl",True,1,True,True
lr,"cuda,hip,omp,sycl",True,5,True,True
lulesh,"cuda,hip,omp,sycl",True,5,True,True
mandelbrot,"cuda,hip,omp,sycl",True,3,True,True
mask,"cuda,hip,omp,sycl",True,2,True,True
match,"cuda,hip,omp,sycl",True,1,True,True
matern,"cuda,hip,omp,sycl",True,2,True,True
matrix-rotate,"cuda,hip,omp,sycl",True,1,True,True
maxpool3d,"cuda,hip,omp,sycl",True,1,True,True
mcpr,"cuda,hip,omp,sycl",True,3,True,True
md,"cuda,hip,omp,sycl",True,4,True,True
md5hash,"cuda,hip,omp,sycl",True,1,True,True
mdh,"cuda,hip,omp,sycl",True,4,True,True
meanshift,"cuda,hip,omp,sycl",True,3,True,True
medianfilter,"cuda,hip,omp,sycl",True,3,True,True
memcpy,"cuda,hip,omp,sycl",True,1,True,True
