kernel,apis,all_4_apis,cuda_source_files,has_makefile,has_self_check
accuracy,"cuda,hip,omp,sycl",True,2,True,True
ace,"cuda,hip,omp,sycl",True,2,True,True
adam,"cuda,hip,omp,sycl",True,2,True,True
adamw,"cuda,hip,omp,sycl",True,3,True,True
addBiasQKV,"cuda,hip",False,1,True,False
addBiasResidualLayerNorm,"cuda,hip,sycl",False,2,True,False
adjacent,"cuda,hip,omp,sycl",True,1,True,True
adv,"cuda,hip,omp,sycl",True,2,True,False
aes,"cuda,hip,omp,sycl",True,5,True,True
affine,"cuda,hip,omp,sycl",True,3,True,True
aidw,"cuda,hip,omp,sycl",True,2,True,True
aligned-types,"cuda,hip,omp,sycl",True,1,True,True
all-pairs-distance,"cuda,hip,omp,sycl",True,1,True,True
allreduce,"cuda,hip,sycl",False,5,True,True
amgmk,"cuda,hip,omp,sycl",True,18,True,True
ans,"cuda,hip,omp,sycl",True,0,True,False
aobench,"cuda,hip,omp,sycl",True,1,True,True
aop,"cuda,hip,omp,sycl",True,1,True,True
asmooth,"cuda,hip,omp,sycl",True,2,True,True
assert,"cuda,hip,omp,sycl",True,1,True,True
asta,"cuda,hip,omp,sycl",True,1,True,True
atan2,"cuda,hip,omp,sycl",True,1,True,True
atomicAggregate,"cuda,hip,sycl",False,1,True,True
atomicCAS,"cuda,hip,sycl",False,2,True,True
atomicCost,"cuda,hip,omp,sycl",True,1,True,True
atomicIntrinsics,"cuda,hip,omp,sycl",True,4,True,True
atomicPerf,"cuda,hip,omp,sycl",True,2,True,True
atomicReduction,"cuda,hip,omp,sycl",True,2,True,True
atomicSystemWide,"cuda,hip,sycl",False,1,True,True
attention,"cuda,hip,omp,sycl",True,3,True,True
attention-paged,"cuda,hip,sycl",False,5,True,True
attentionMultiHead,"cuda,hip,sycl",False,2,True,True
axhelm,"cuda,hip,omp,sycl",True,6,True,True
axpby,"cuda,hip,sycl",False,1,True,True
b+tree,"cuda,hip,omp,sycl",True,3,True,True
babelstream,"cuda,hip,omp,sycl",True,1,True,True
background-subtract,"cuda,hip,omp,sycl",True,2,True,True
backprop,"cuda,hip,omp,sycl",True,8,True,True
bezier-surface,"cuda,hip,omp,sycl",True,1,True,True
bfs,"cuda,hip,omp,sycl",True,1,True,True
bh,"cuda,hip,sycl",False,1,True,True
bicgstab,"cuda,hip",False,2,True,True
bilateral,"cuda,hip,omp,sycl",True,2,True,True
bincount,"cuda,hip,sycl",False,1,True,False
binomial,"cuda,hip,omp,sycl",True,5,True,True
bitcracker,"cuda,hip,sycl",False,7,True,True
bitonic-sort,"cuda,hip,omp,sycl",True,1,True,True
bitpacking,"cuda,hip,sycl",False,4,True,True
bitpermute,"cuda,hip,sycl",False,3,True,True
black-scholes,"cuda,hip,omp,sycl",True,3,True,True
blas-dot,"cuda,hip,sycl",False,1,True,True
blas-fp8gemm,"cuda,hip",False,2,True,True
blas-gemm,"cuda,hip,omp,sycl",True,2,True,True
blas-gemmBatched,"cuda,hip,sycl",False,2,True,True
blas-gemmEx,"cuda,hip,sycl",False,2,True,False
blas-gemmEx2,"cuda,hip,sycl",False,2,True,True
blas-gemmStridedBatched,"cuda,hip,sycl",False,1,True,True
blockAccess,"cuda,hip,sycl",False,4,True,True
blockScan,"cuda,hip,sycl",False,1,True,True
blockexchange,"cuda,hip,sycl",False,2,True,True
bm3d,"cuda,hip,sycl",False,8,True,True
bmf,"cuda,hip,sycl",False,0,True,False
bn,"cuda,hip,omp,sycl",True,3,True,True
bonds,"cuda,hip,omp,sycl",True,6,True,False
boxfilter,"cuda,hip,omp,sycl",True,2,True,True
bscan,"cuda,hip,sycl",False,1,True,True
bsearch,"cuda,hip,omp,sycl",True,1,True,True
bspline-vgh,"cuda,hip,omp,sycl",True,3,True,True
bsw,"cuda,hip,sycl",False,7,True,True
btree,"cuda,sycl",False,2,True,True
burger,"cuda,hip,omp,sycl",True,2,True,True
bwt,"cuda,hip,omp,sycl",True,3,True,True
car,"cuda,hip,omp,sycl",True,3,True,False
cbsfil,"cuda,hip,omp,sycl",True,3,True,True
cc,"cuda,hip,sycl",False,1,True,True
ccl,"cuda,hip,sycl",False,1,True,True
ccs,"cuda,hip,omp,sycl",True,8,True,True
ccsd-trpdrv,"cuda,hip,omp,sycl",True,4,True,True
ced,"cuda,hip,sycl",False,3,True,True
cfd,"cuda,hip,omp,sycl",True,2,True,True
chacha20,"cuda,hip,omp,sycl",True,2,True,True
channelShuffle,"cuda,hip,omp,sycl",True,2,True,True
channelSum,"cuda,hip,omp,sycl",True,2,True,True
che,"cuda,hip,omp,sycl",True,2,True,True
chemv,"cuda,hip,omp,sycl",True,3,True,True
chi2,"cuda,hip,omp,sycl",True,2,True,True
clenergy,"cuda,hip,omp,sycl",True,3,True,True
clink,"cuda,hip,omp,sycl",True,3,True,True
clock,"cuda,hip,sycl",False,1,True,False
cm,"cuda,hip,omp,sycl",True,5,True,True
cmembench,"cuda,hip",False,1,True,True
cmp,"cuda,hip,omp,sycl",True,13,True,True
cobahh,"cuda,hip,omp,sycl",True,3,True,False
collision,"cuda,hip,sycl",False,1,True,True
colorwheel,"cuda,hip,omp,sycl",True,1,True,True
columnarSolver,"cuda,hip,omp,sycl",True,2,True,True
complex,"cuda,hip,omp,sycl",True,4,True,True
compute-score,"cuda,hip,omp,sycl",True,4,True,True
concat,"cuda,hip,omp,sycl",True,2,True,True
concurrentKernels,"cuda,hip,sycl",False,1,True,True
contract,"cuda,hip,omp,sycl",True,2,True,False
conversion,"cuda,hip,omp,sycl",True,1,True,False
convolution1D,"cuda,hip,omp,sycl",True,1,True,True
convolution3D,"cuda,hip,omp,sycl",True,2,True,True
convolutionDeformable,"cuda,hip,sycl",False,0,True,False
convolutionSeparable,"cuda,hip,omp,sycl",True,4,True,True
cooling,"cuda,hip,omp,sycl",True,1,True,True
coordinates,"cuda,hip,sycl",False,2,True,True
crc64,"cuda,hip,omp,sycl",True,3,True,True
cross,"cuda,hip,omp,sycl",True,1,True,True
crossEntropy,"cuda,hip,sycl",False,2,True,True
crs,"cuda,hip,omp,sycl",True,10,True,True
d2q9-bgk,"cuda,hip,omp,sycl",True,1,True,True
d3q19-bgk,"cuda,hip,sycl",False,2,True,True
damage,"cuda,hip,omp,sycl",True,3,True,True
daphne,"cuda,hip,sycl",False,0,False,False
dct8x8,"cuda,hip,omp,sycl",True,4,True,True
ddbp,"cuda,hip,omp,sycl",True,1,True,False
debayer,"cuda,hip,omp,sycl",True,3,True,True
degrid,"cuda,hip,omp,sycl",True,3,True,True
dense-embedding,"cuda,hip,omp,sycl",True,1,True,True
depixel,"cuda,hip,omp,sycl",True,2,True,False
deredundancy,"cuda,hip,omp,sycl",True,4,True,True
determinant,"cuda,hip,sycl",False,1,True,False
diamond,"cuda,hip,omp,sycl",True,1,True,True
dispatch,"cuda,hip,sycl",False,1,True,False
distort,"cuda,hip,omp,sycl",True,3,True,True
divergence,"cuda,hip,omp,sycl",True,2,True,True
doh,"cuda,hip,omp,sycl",True,1,True,False
dp,"cuda,hip,omp,sycl",True,3,True,True
dpid,"cuda,hip,sycl",False,3,True,False
dropout,"cuda,hip,sycl",False,1,True,False
dslash,"cuda,hip,omp,sycl",True,4,True,False
dwconv,"cuda,hip,sycl",False,1,True,False
dwconv1d,"cuda,hip,sycl",False,0,True,False
dwt2d,sycl,False,0,False,False
dxtc2,"cuda,hip,omp,sycl",True,4,True,True
easyWave,"cuda,hip,omp,sycl",True,13,True,True
ecdh,"cuda,hip,omp,sycl",True,2,True,True
egs,"cuda,hip",False,7,True,True
eigenvalue,"cuda,hip,omp,sycl",True,5,True,True
eikonal,"cuda,hip,sycl",False,11,True,True
entropy,"cuda,hip,omp,sycl",True,2,True,True
epistasis,"cuda,hip,omp,sycl",True,2,True,True
ert,"cuda,hip,sycl",False,3,True,True
expdist,"cuda,hip,omp,sycl",True,2,True,True
extend2,"cuda,hip,omp,sycl",True,1,True,True
extrema,"cuda,hip,omp,sycl",True,3,True,True
f16atomic,"cuda,hip,sycl",False,1,True,True
f16max,"cuda,hip,sycl",False,1,True,True
f16sp,"cuda,hip,sycl",False,2,True,True
f8cast,"cuda,hip,sycl",False,3,True,True
face,"cuda,hip,omp,sycl",True,8,True,True
fdtd3d,"cuda,hip,omp,sycl",True,10,True,True
feynman-kac,"cuda,hip,omp,sycl",True,3,True,True
fft,"cuda,hip,omp,sycl",True,4,True,True
fhd,"cuda,hip,omp,sycl",True,1,True,True
filter,"cuda,hip,omp,sycl",True,1,True,True
flame,"cuda,hip,sycl",False,5,True,True
flip,"cuda,hip,omp,sycl",True,2,True,True
floydwarshall,"cuda,hip,omp,sycl",True,1,True,True
floydwarshall2,"cuda,hip,sycl",False,1,True,True
fluidSim,"cuda,hip,omp,sycl",True,4,True,True
fma,"cuda,hip,sycl",False,3,True,True
fpc,"cuda,hip,omp,sycl",True,1,True,True
fpdc,"cuda,hip,omp,sycl",True,2,True,True
fresnel,"cuda,hip,omp,sycl",True,5,True,True
frna,"cuda,hip,omp,sycl",True,12,True,True
fsm,"cuda,hip,sycl",False,3,True,True
