Benchmark,Kernel,APIs,API_Count,Has_CUDA,Has_HIP,Has_SYCL,Has_OpenMP
BabelStream,copy,"CUDA, HIP, Kokkos, OpenACC, OpenCL, OpenMP, RAJA, SYCL, TBB, Thrust, stdpar",11,True,True,True,True
BabelStream,mul,"CUDA, HIP, Kokkos, OpenACC, OpenCL, OpenMP, RAJA, SYCL, TBB, Thrust, stdpar",11,True,True,True,True
BabelStream,add,"CUDA, HIP, Kokkos, OpenACC, OpenCL, OpenMP, RAJA, SYCL, TBB, Thrust, stdpar",11,True,True,True,True
BabelStream,triad,"CUDA, HIP, Kokkos, OpenACC, OpenCL, OpenMP, RAJA, SYCL, TBB, Thrust, stdpar",11,True,True,True,True
BabelStream,dot,"CUDA, HIP, Kokkos, OpenACC, OpenCL, OpenMP, RAJA, SYCL, TBB, Thrust, stdpar",11,True,True,True,True
HeCBench,rainflow,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,cmp,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,softmax-fused,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,quantBnB,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,quant3MatMul,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,dpid,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,phmm,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,attentionMultiHead,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,particle-diffusion,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,rushlarsen,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,nn,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,nw,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,bmf,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,f16atomic,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,spsort,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,degrid,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,testSNAP,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,convolutionDeformable,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,miniFE,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,thomas,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,conversion,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,collision,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,score,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,easyWave,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,keccaktreehash,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,binomial,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,jenkins-hash,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,particles,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,deredundancy,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,perplexity,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,pns,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,diamond,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,sddmm-batch,"CUDA, HIP",2,True,True,False,False
HeCBench,radixsort,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,aop,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,mallocFree,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,scan,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,ldpc,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,unfold,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,chi2,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,interleave,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,lsqt,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,d2q9-bgk,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,segment-reduce,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,channelSum,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,accuracy,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,kernelLaunch,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,flip,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,zoom,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,spmm,"CUDA, HIP",2,True,True,False,False
HeCBench,atan2,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,gmm,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,mis,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,halo-finder,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,wyllie,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,minisweep,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,bn,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
