suite,model,n,passes,pass_rate,ci_lower,ci_upper,PASS,BUILD_FAIL,RUN_FAIL,VERIFY_FAIL,EXTRACTION_FAIL
hecbench,ALL,288,237,0.8229,0.7747,0.8627,237,39,4,8,0
hecbench,azure-gpt-5.3-codex,96,95,0.9896,0.9433,0.9982,95,0,0,1,0
hecbench,azure-gpt-5.4,96,93,0.9688,0.9121,0.9893,93,2,0,1,0
hecbench,together-qwen-3.5-397b-a17b,96,49,0.5104,0.412,0.6081,49,37,4,6,0
rodinia,ALL,828,190,0.2295,0.2021,0.2593,190,314,135,186,0
rodinia,azure-gpt-5.3-codex,276,76,0.2754,0.226,0.3309,76,89,39,72,0
rodinia,azure-gpt-5.4,276,80,0.2899,0.2395,0.346,80,83,40,70,0
rodinia,together-qwen-3.5-397b-a17b,276,34,0.1232,0.0895,0.1672,34,142,56,44,0
rsbench,ALL,54,15,0.2778,0.1762,0.4089,15,22,17,0,0
rsbench,azure-gpt-5.3-codex,18,7,0.3889,0.2031,0.6138,7,6,5,0,0
rsbench,azure-gpt-5.4,18,8,0.4444,0.2456,0.6628,8,4,6,0,0
rsbench,together-qwen-3.5-397b-a17b,18,0,0.0,0.0,0.1759,0,12,6,0,0
xsbench,ALL,54,14,0.2593,0.1612,0.3893,14,24,16,0,0
xsbench,azure-gpt-5.3-codex,18,6,0.3333,0.1628,0.5625,6,8,4,0,0
xsbench,azure-gpt-5.4,18,8,0.4444,0.2456,0.6628,8,4,6,0,0
xsbench,together-qwen-3.5-397b-a17b,18,0,0.0,0.0,0.1759,0,12,6,0,0
