suite,kernel,source_spec,target_spec,source_api,target_api,source_files,target_files,complexity_class
hecbench,aes,hecbench-aes-cuda,hecbench-aes-omp,cuda,omp,2,2,multi_to_multi
hecbench,aes,hecbench-aes-omp,hecbench-aes-cuda,omp,cuda,2,2,multi_to_multi
hecbench,babelstream,hecbench-babelstream-cuda,hecbench-babelstream-omp,cuda,omp,1,1,single_file
hecbench,babelstream,hecbench-babelstream-omp,hecbench-babelstream-cuda,omp,cuda,1,1,single_file
hecbench,backprop,hecbench-backprop-cuda,hecbench-backprop-omp,cuda,omp,3,2,multi_to_multi
hecbench,backprop,hecbench-backprop-omp,hecbench-backprop-cuda,omp,cuda,2,3,multi_to_multi
hecbench,bezier-surface,hecbench-bezier-surface-cuda,hecbench-bezier-surface-omp,cuda,omp,1,1,single_file
hecbench,bezier-surface,hecbench-bezier-surface-omp,hecbench-bezier-surface-cuda,omp,cuda,1,1,single_file
hecbench,bilateral,hecbench-bilateral-cuda,hecbench-bilateral-omp,cuda,omp,1,1,single_file
hecbench,bilateral,hecbench-bilateral-omp,hecbench-bilateral-cuda,omp,cuda,1,1,single_file
hecbench,binomial,hecbench-binomial-cuda,hecbench-binomial-omp,cuda,omp,2,2,multi_to_multi
hecbench,binomial,hecbench-binomial-omp,hecbench-binomial-cuda,omp,cuda,2,2,multi_to_multi
hecbench,ccsd-trpdrv,hecbench-ccsd-trpdrv-cuda,hecbench-ccsd-trpdrv-omp,cuda,omp,1,1,single_file
hecbench,ccsd-trpdrv,hecbench-ccsd-trpdrv-omp,hecbench-ccsd-trpdrv-cuda,omp,cuda,1,1,single_file
hecbench,chacha20,hecbench-chacha20-cuda,hecbench-chacha20-omp,cuda,omp,2,2,multi_to_multi
hecbench,chacha20,hecbench-chacha20-omp,hecbench-chacha20-cuda,omp,cuda,2,2,multi_to_multi
hecbench,chi2,hecbench-chi2-cuda,hecbench-chi2-omp,cuda,omp,1,1,single_file
hecbench,chi2,hecbench-chi2-omp,hecbench-chi2-cuda,omp,cuda,1,1,single_file
hecbench,convolution1d,hecbench-convolution1d-cuda,hecbench-convolution1d-omp_target,cuda,omp_target,1,1,single_file
hecbench,convolution1d,hecbench-convolution1d-omp_target,hecbench-convolution1d-cuda,omp_target,cuda,1,1,single_file
hecbench,convolution3d,hecbench-convolution3d-cuda,hecbench-convolution3d-omp,cuda,omp,1,1,single_file
hecbench,convolution3d,hecbench-convolution3d-omp,hecbench-convolution3d-cuda,omp,cuda,1,1,single_file
hecbench,convolutionseparable,hecbench-convolutionseparable-cuda,hecbench-convolutionseparable-omp,cuda,omp,2,2,multi_to_multi
hecbench,convolutionseparable,hecbench-convolutionseparable-omp,hecbench-convolutionseparable-cuda,omp,cuda,2,2,multi_to_multi
hecbench,crc64,hecbench-crc64-cuda,hecbench-crc64-omp,cuda,omp,2,2,multi_to_multi
hecbench,crc64,hecbench-crc64-omp,hecbench-crc64-cuda,omp,cuda,2,2,multi_to_multi
hecbench,dct8x8,hecbench-dct8x8-cuda,hecbench-dct8x8-omp,cuda,omp,2,2,multi_to_multi
hecbench,dct8x8,hecbench-dct8x8-omp,hecbench-dct8x8-cuda,omp,cuda,2,2,multi_to_multi
hecbench,deredundancy,hecbench-deredundancy-cuda,hecbench-deredundancy-omp,cuda,omp,2,2,multi_to_multi
hecbench,deredundancy,hecbench-deredundancy-omp,hecbench-deredundancy-cuda,omp,cuda,2,2,multi_to_multi
hecbench,eigenvalue,hecbench-eigenvalue-cuda,hecbench-eigenvalue-omp,cuda,omp,2,2,multi_to_multi
hecbench,eigenvalue,hecbench-eigenvalue-omp,hecbench-eigenvalue-cuda,omp,cuda,2,2,multi_to_multi
hecbench,feynman-kac,hecbench-feynman-kac-cuda,hecbench-feynman-kac-omp,cuda,omp,2,1,multi_to_single
hecbench,feynman-kac,hecbench-feynman-kac-omp,hecbench-feynman-kac-cuda,omp,cuda,1,2,single_to_multi
hecbench,fft,hecbench-fft-cuda,hecbench-fft-omp,cuda,omp,3,1,multi_to_single
hecbench,fft,hecbench-fft-omp,hecbench-fft-cuda,omp,cuda,1,3,single_to_multi
hecbench,floydwarshall,hecbench-floydwarshall-cuda,hecbench-floydwarshall-omp,cuda,omp,1,1,single_file
hecbench,floydwarshall,hecbench-floydwarshall-cuda,hecbench-floydwarshall-omp_target,cuda,omp_target,1,1,single_file
hecbench,floydwarshall,hecbench-floydwarshall-omp,hecbench-floydwarshall-cuda,omp,cuda,1,1,single_file
hecbench,floydwarshall,hecbench-floydwarshall-omp,hecbench-floydwarshall-omp_target,omp,omp_target,1,1,single_file
hecbench,floydwarshall,hecbench-floydwarshall-omp_target,hecbench-floydwarshall-cuda,omp_target,cuda,1,1,single_file
hecbench,floydwarshall,hecbench-floydwarshall-omp_target,hecbench-floydwarshall-omp,omp_target,omp,1,1,single_file
hecbench,fpc,hecbench-fpc-cuda,hecbench-fpc-omp,cuda,omp,1,1,single_file
hecbench,fpc,hecbench-fpc-omp,hecbench-fpc-cuda,omp,cuda,1,1,single_file
hecbench,fwt,hecbench-fwt-cuda,hecbench-fwt-omp,cuda,omp,2,2,multi_to_multi
